Mot,D?finition
(s?) habituer ?,to get used to
heureux,happy
l?identit? (f),identity
jeune,young
le lapin,rabbit
loger,to stay/lodge/put up
madame,madam/mrs
malheureux,unhappy
le mari,husband
(se) marier,to marry (get married)
la m?re,mother
la mort,death
la nationalit?,nationality
le nez,nose
l?oiseau (m),bird
le papa,dad
le/la partenaire (id?al(e)),(ideal) partner
les personnes d?favoris?es (f),disadvantaged people
la petite amie,girlfriend
le poisson rouge,goldfish
porter,to wear
les rapports (m),relationships
religieux,religious
le rendez-vous,appointment/meeting
la responsabilit?,responsibility
rire,to laugh
la s?curit?,safety
s?par?,separated
signer,to sign
le sondage,survey
la souris,mouse
la tante,aunt
tranquille,quiet
le vandalisme,vandalism
vieux,old
le voisin,neighbour
? la carte,a la carte/on the menu
? point,medium rare
l?activit? physique (f),physical activity
l?ail (m),garlic
alcoolis?,drunk/alcoholic
l?alimentation saine (f),healthy diet
l?ananas (m),pineapple
avertir,to warn
le canard,duck
la casserole,casserole
la c?telette,cutlet/chop
la crise cardiaque,heart attack
les crudit?s (f),raw vegetables
la d?gustation,tasting/sampling
(se) d?tendre,to relax
(s?) entra?ner,to train
?pic?,spicy
l?escargot (m),snail
la farine,flour
g?cher,to waste
l?hu?tre (f),oyster
la laitue,lettuce
mener,to lead (to)
l?oignon (m),onion
le pamplemousse,grapefruit
la piq?re,sting
la prune,plum
reprendre connaissance,to regain consciousness
le revendeur,retailer
sale,salty
savoureux,delicious/tasty
avoir sommeil,to be sleepy
le tire-bouchon,bottle opener
tuer,to kill
la veine,vein
voler,to steal
? peine,hardly/barely/scarcely
accro,addicted
l?agneau (m),lamb
alcoolique,alcoholic
l?acoolisme (m),alcoholism
amer,bitter
l?ap?ritif (m),pre-dinner drink
bien cuit,well done (cooked)
le casse-cro?te ,snack
le concombre,cucumber
la crevette,prawn/shrimp
cru,raw
d?goutant,disgusting
d?sintoxiquer,to detox
la douleur,pain
?pais,thick
?puiser,to exhaust/tire out
faire la grasse matin?e,to have a lie in
le foie,liver
hors d?haleine,out of breath
ivre,drunk
les mati?res grasses (f),fats
la noix,nut
l?ouvre-bo?te (m),tin opener
piquant,spicy
le poumon,lung
renoncer,to give up/renounce
respirer,to breathe
saignant,bloody/rare
sauvegarder,to save/protect
le sommeil,sleep
le tabagisme,smoking
le/la toxicomane,drug addict
le veau,veal
le vinaigre,vinegar
actif,active
agresser,to assault/mug
anim?,lively
la bague,ring
la bande,gang/group
brutaliser,to attack/abuse
le caract?re,character
chr?tien,christian
compter sur,to count on
le conseil,advice
de mauvaise humeur,in a bad mood
d??u,disappointed/disillusioned
d?ranger,to upset/disturb/bother
douter,to doubt
effrayant,scary/frightening
l?galit? (f),equality
l?enl?vement (m),abduction/kidnapping
l?enqu?te (f),enquiry
?pouser,to marry
?tonnant,surprising
?viter,to avoid
expr?s,intentionally/on purpose
f?ter,to celebrate
fianc?,engaged
fou/folle,mad/crazy
g?ner,to disturb/annoy/bother
ill?gal,illegal
inconnu,unknown
la jeunesse,youth (adolescence)
juif,jewish
laid,ugly
lutter,to fight/struggle
maladroit,clumsy/heavy-handed
menacer,to threaten
monoparental,single parent
la mosqu?e,mosque
musulman,muslim
nerveux,nervous
la ni?ce,niece
la nostalgie,nostalgia
la pauvret?,poverty
le petit-fils,grandson
plaire,to please/delight
la racaille,riffraff/scum
raide,straight/broke (money)/stiff (person)
reconnaissant,grateful/appreciative
le r?fugi? ,refugee
? la retraite,retired
sans ressources,without means
le sentiment,feeling/opinion/intention
le sida,AIDS
le t?moin,witness
le travail b?n?vole,volunteer work
la veuve,widow
le vol,theft
l?ado (m/f),teenager/adolescent
l?alliance (f),wedding ring
l?attaque (f),attack
baiser,kiss
le bonheur,joy/pleasure/happiness
cacher,to hide
le c?libataire,single person
compr?hensif,understanding
consacrer,to devote/dedicate
coupable,guilty
(se) d?brouiller,to manage/take care of things/sort out
d?prim?,depressed
la dette,debt
les droits de l?homme (m),human rights
?gal,equal
?l?gant,elegant
l?ennui (m),boredom
envahir,to invade/take over
l?espoir (m),hope
?trange,strange
les exclus (m/f),homeless/underprivileged
f?liciter,to congratulate
les fian?ailles (f),engagement
fier,to be proud
g?ter,to spoil
humilier,to humiliate
l?immigr? (m),immigrant
jaloux,jealous
le jugement,verdict/decision/ruling
le jumeau/la jumelle,twin
les libert?s civiques (f),civil liberties
maigre,thin
la manifestation,demonstration
(se) mettre en col?re,to anger (get angry)
le moral,mental health
mourir,to die
na?tre,to be born
le neveu,nephew
les noces (f),wedding ceremony
l?organisation caritative (f),charitable organisation / charity
la petite-fille,grandaughter
(se) plaindre,to complain
le plaisir,pleasure
le racisme,racism
r?aliser,to realise (e.g. a dream)
r?fl?chir,to reflect/think about
la retraite,retirement
r?ver,to dream
les sans/abri (m/f),homeless
(se) s?parer,to separate/split up
surveiller,to keep an eye on/watch
tomber amoureux de,to fall in love with
le veuf,widower
vif,lively/vivacious/keen
le voyou,lout/thug/rascal
l?appartement (m),appartment
l?armoire (f),wardrobe
(s?) asseoir,to sit down
la biblioth?que,library
la boum,party
le bruit,noise
calme,quiet/peaceful
la cave,cellar
le champ ,field
le club des jeunes,youth club
la colline,hill
confortable,comfortable
le couloir,corridor
d?m?nager,to move house
dormir ,to sleep
entrer,to enter/go in
l?espace (m),space
faire du babysitting,to babysit
faire le m?nage,to do the housework
la fen?tre,window
la f?te,party
la fleur,flower
le frigo,fridge
l?habitant (m),inhabitant
historique,historic
l?le (f),island
l?industrie (f),industry
le jardin,garden
la lampe,lamp
(se) laver,to wash
se lever,to get up
la mairie,mayor
le mariage,marriage
mettre,to put
le miroir,mirror
monter,to ride
le mur,wall
nettoyer,to clean
le Nouvel An,New Year
le parc,park
la pelouse,lawn/grass
le placard,cupboard
le plafond,ceiling
le pont,bridge
priv?,private
le r?veil,alarm clock
le rez-de-chauss?e,ground floor
la rivi?re,river
la salle ? manger,dining room
le salon,lounge
le sous-sol,basement
le tapis,rug/carpet
t?lephoner,to telephone
la terrasse,patio/terrace
le trottoir,pavement
l?usine (f),factory
le vestibule,entrance hall
l?arbre (m),tree
l?arr?t (d?autobus),(bus) stop
le b?timent,building
la bo?te de nuit,nightclub
le bowling,bowling alley
le bureau,office/desk
la cath?drale,cathedral
la chaise,chair
la cl?,key
le code postal,post code
le commissariat,police station
(se) coucher,to go to bed
la cuisini?re,cook/chef/cooker
descendre,to go down
l?glise (f),church
l?escalier (m),stairs
l?tage (m),floor
faire du jardinage,to garden
faire la vaisselle,to do the washing-up
la ferme,farm
le feu,fire
le four (? micro-ondes),(microwave) oven
garder,to keep/look after
habiter,to live
l?h?tel de ville (m),town hall
l?immeuble (m),block of flats/building
industriel,industrial
le jardin public,park
le lave-vaisselle,dishwasher
laver la voiture,to wash the car
le lit,bed
la maison individuelle/ jumel?e,detached/semi-detached house
le m?tro,metro
le meuble,furniture
la montagne,mountain
montrer,to show
le mus?e,museum
No?l,Christmas
P?ques,Easter
le parking,car park
la pi?ce,room
la place,square
la plante,plant
la porte (d?entr?e_),(front) door
le quartier,district/neighbourhood
(se) r?veiller,to wake up
le rideau,curtain
La Saint-Valentin,St Valentine
la salle de s?jour,living room
la serviette,towel
le tableau,picture/board
le t?l?phone,telephone
le terrain de camping/de sport,campsite/sports field
le toit,roof
(se) trouver,to find
la vache,cow
la vie,life
la bo?te (en carton),(cardboard) box
la circulation,traffic
les d?chets (m),rubbish
jeter,to throw (away)
la piste cyclable,cycle lane
la poubelle,rubbish bin
propre,clean
recyclable,recyclable
le sac en plastique,plastic bag
sans plomb,unleaded
les transports en commum (m),public transport
le centre de recyclage,recycling centre
cultiver,to grow
l?environnement (m),environment
le p?trole,petrol
pollu?,polluted
le probl?me,problem
prot?ger,to protect
recycler,to recycle
sale,dirty
sauver,to save
la zone (pi?tonne),(pedestrian) zone
allumer,to turn/switch on
l?arrondissement (m),district/quarter
le bricolage,DIY
le/la concierge,caretaker/housekeeper
couvrir,to cover
dur,hard
entour?,surrounded
l?tag?re (f),shelf
le fauteuil,armchair
la fontaine,fountain
le grenier,loft/attic
l?herbe,grass
l?inondation (f),flood
le jour de l?an,new year?s day
les lits superpos?s,bunkbeds
le palais,palace
ranger,to tidy
la Saint-Sylvestre,New Year?s Eve
spacieux,spacious
le tiroir,drawer
le volet,blind
appuyer,to press/lean
le bapt?me,baptism
bruyant,noisy
la couverture,cover
donner sur,to look out onto
l?chelle,ladder
les espaces verts (m),green spaces
?teindre,to turn/switch off
la feuille,sheet
la for?t,forest
la haie,hedge
l?horloge (f),clock
le jardin public,public park
jumel?,twinned
la moquette,carpet
pittoresque,picturesque
le robinet,tap
sans int?r?t,without interest?
la terre,soil/ground/earth
la Toussaint,All Saints Day
Augmenter,to increase
La consommation (moder?e),moderated consumption
La couche d?ozone,ozone layer
Le d?boisement,deforestation
D?truire,to destroy
L?effet de serre (m),greenhouse effect
L?embouteillage (m),traffic jam
L?esp?ce (f),species
Le gaz d?chappement ,exhaust fumes
Les heures d?affluence,peak time / rush hour
La lumi?re,light
Les ordures (f),filth/waste/rubbish
Produire,to produce
Le r?chauffement de la terre,global warming
Surpeupl?,overpopulated
Le trou d?ozone,hole in the ozone layer
Le charbon,coal
Construire,to build
Croire,to believe
Les d?tritus (m),rubbish/waste
Dispara?tre,disappear
L?emballage (m),packaging
Endommager,to damage/harm
Le gaz carbonique,carbon dioxide
La guerre,war
L?incendie (m),fire
Mondial,global
La paix,peace
Ramasser,to pick up/collect/gather
Renouvelable,renewable
Le tremblement de terre,earthquake
La vague,wave
les affaires (f),business
l?apprenti(e) (m/f),apprentice/trainee
le bac ,A levels
le cahier,exercise book
la carri?re,career
le coll?ge,secondary school (Y7 to Y10)
comprendre,to understand
la cour,playground
le crayon,pencil
demander,to ask
dessiner,to draw
d?tester,to hate
les devoirs (m),homework
difficile,difficult
le directeur/la directrice,headteacher
le droit,the right
l?cole (f) primaire/secondaire,(primary/secondary) school
l?l?ve (m/f),pupil
en premi?re,in yr12
en sixi?me,in yr7
encourager,to encourage
l?tudiant (m),student
l?examen (m),exam
facile,easy
finir,to finish
la g?ographie,geography
l?informatique,ICT
l?instituteur/l?institutrice,primary school teacher
la langue,language
le livre,book
les math(s) (f),maths
la mati?re,school subject
la note,grade
oublier,to forget
passer,to sit an exam/spend
penser,to think
la photocopie,photocopy
poser,to ask a question
pr?parer,to prepare
la r?cr?ation,breaktime
le r?glement,rule
r?p?ter,to repeat
la r?ponse,answer
reviser,to revise
savoir,to know
le stylo,pen
travailler,to work
le trimestre,school term
l?universit? (f),university
le vocabulaire,vocabulary
apprendre,to learn
l?apprentissage,apprenticeship
la biologie,biology
la calculatrice,calculator
la chimie,chemistry
commencer,to start
copier,to copy
le cours,lesson
d?fense de ?.,no ?.
le dessin,art
le d?tail,detail
devoir,to have to/must
le dictionnaire,dictionary
la difficult?,difficulty
discuter,to discuss/talk about
l?change (m),exchange
?couter,to listen
l?emploi du temps (m),timetable
en seconde,in yr 11
en terminale,in yr 13
les ?tudes (f),studies
?tudier,to study
l?exemple (m) ,example
faire attention,to pay attention
le fran?ais,French
l?histoire (f),history
inquiet,worried/anxious
le laboratoire,laboratory
la le?on,lesson
le lyc?e (technique),(technical) college
les math?matiques,mathematics
le mot,word
organiser,to organise
parler,to speak/talk
la pause,break
perdre,to lose
la physique,physics
pouvoir,to be able to
le professeur,teacher
la r?gle,ruler
la rentr?e,return to school
r?pondre,to answer
le r?sultat,result
la salle de classe,classroom
scolaire,school (adj)
le tableau (blanc interactif),(interactive white) board
travailleur,hardworking
l?uniforme (m),uniform
utiliser,to use
l?acteur/l?actrice,actor/actress
bien pay?,well paid
le boucher,butcher
le boulot,job/work
le candidat,candidate
le certificat,certificate
le/la coll?gue,colleague
d?cider,to decide
distribuer,hand out/distribute
l?lectricien (m),electrician
l?entreprise (f),company
l?picier,grocer
le fermier,farmer
l?h?tesse de l?air,air hostess
l?ing?nieur (m),engineer
livrer,to deliver
le m?canicien ,mechanic
le paquet,packet
le plombier,plumber
le programmeur,programmer
(se) rappeler,to call back/remind (remember)
le salaire,salary
le serveur/la serveuse,waiter/waitress
le technicien,technician
le travail,work/job/task
le vendeur/la vendeuse,sales assistant
l?avenir,future
la bo?te aux lettres,postbox
le boulanger,baker
le caissier/la caissi?re,cashier
certainement,certainly
le chef,boss/manager
la conf?rence,conference
devenir,to become
le docteur,doctor
l?emploi,job/employment
l?enveloppe (f),envelope
le facteur,postman
le formulaire,form
l?infirmier/l?infirmi?re,nurse
la lettre,letter
mal pay?,badly paid
le musicien,musician
le patron,boss
le policier,police officer
le/la propri?taire,owner
le r?ve,dream
le/la secr?taire,secretary
le stage (en enterprise),work experience
le timbre,stamp
vari?,varied
bien ?quip?,well equipped
la confiance,confidence/trust
couramment,fluently
dou?,gifted/talented
emp?cher,to prevent/stop
l?enthousiasme (m),enthusiasm
la facult?,college/faculty/university
les incivilit?s (m),incivilities?
l?instruction religieuse (f),religious education
la licence,degree
la maternelle,nursery school
permettre,to allow
redoubler,to repeat a year/to be held back a year
r?ussir,to succeed
la salle des professeurs,staff room
surcharg?,overworked
(se) taire,to keep quiet
traduire,to translate
utiliser,to use
le car de ramassage ,school bus
la connaissance,knowledge/aquaintance
le dipl?me,diploma
?chouer,to fail
enseigner,to teach
l?explication (f),explanation
frapper,to hit
l?instruction civique (f),citizenship
les langues vivantes (f),modern languages
mal ?quip?,badly equipped
mentir,to lie
les progr?s (m),progress/development
la retenue,detention
la salle d?informatique,IT room
le souci,worry
la t?che,task
le th?me,theme/subject/topic
le troisi?me ?ge,old people
la victime,victim
l?annuaire (m),telephone book
l?auteur,author
l?avocat,lawyer
le comptable,accountant
le cours professionnel,professional course?
l?crivain (m),writer
l?entretien (m),interview
la femme de m?nage,cleaner
l?homme au foyer (m),house husband
l?interpr?te (m/f),interpreter
licencier,to fire/sack/dismiss
le ma?on,builder/bricklayer
l?offre d?emploi (f),job offer
le programme de formation,training programme
le soin,care/tidiness
am?liorer,to improve
assurer,to reassure
l?avertissement (m),warning
le cadre,middle manager/executive
le contrat,contract
la demande d?emploi,job application
enrichissant,enriching/rewarding
l?preuve (f),test
la foire d?exposition,trade show??
l?informaticien (m),IT engineer
le jardinier,gardener
la loi,law
le mannequin,model (fashion)
l?ouvrier (m),labourer
soigner,to care for/treat/tend
le/la v?t?rinaire,vet
accompagner,to go along with
acheter,to buy
(s?) amuser,to entertain (have fun)
l?appel (m),call
l?avantage (m),advantage
la bande dessin?e,comic strip/comic
le basket,basketball
la bijouterie,jewellers
le blouson,jacket
la boucherie,butcher?s
la boulangerie,baker?s
la boutique,shop
la caisse,till
la ceinture,belt
le centre de sport,sports centre
chanter,to sing
la chanteuse,singer
la charcuterie,delicatessen
la chaussure,shoe
choisir,to choose
le cin?ma,cinema
le client,customer/client
le coiffeur,hairdresser
le coin,corner
le concours,competition
la couleur,colour
la cravate,tie
danser,to dance
d?penser,to spend (money)
le dessin anim?,cartoon
le documentaire,documentary
?changer,to exchange/swap
l?mission (f),programme
l?entr?e (f),entrance
l?picerie (f),grocer?s
l?quitation,horseriding
faire des ?conomies,to save
faire les magasins,to go shopping
favori,favourite
le film d?aventures,adventure film
le film de guerre,war film
le film policier,crime film
gagner,to win
gratuit,free
la guitare,guitar
l?hypermarch? (m),hypermarket
l?imperm?able (m),raincoat
le jean,jeans
le jeu vid?o,video game
le jouet,toy
la jupe,skirt
le lecteur dvd,dvd player
la lecture,reading
libre,free/available
la livre sterling,pound sterling
le maillot de bain,bathing costume
le manteau,coat
le marchand (de fruit),(fruit) stallholder
le membre,member
la mode (? la mode),fashion(able)
la montre,watch
nager,to swim
le num?ro (de t?l?phone),(telephone) number
l?ordinateur,computer
le pantalon,trousers
le parfum,perfume
le passe-temps,hobby/passtime
le patinage,skating
la patinoire,skating rink
la p?che,fishing
le pique-nique,picnic
la planche ? voile,windsurfing
le portable,mobile phone
le porte-monnaie,purse
pousser,to push
(se) promener,to (go for a) walk
le pull,jumper
le rayon,shelf
r?duit,reduced
regarder,to watch/look
(se) rencontrer,to meet (up)
retourner,to return/go back
la robe,dress
le sac (? main),(hand) bag
sauter,to jump
la s?rie,series
le short,shorts
le skate,skateboarding
les soldes (m),sales
sortir,to go out
le spectateur,spectator
les sports d?hiver (m),winter sports
le stade,stadium
le surf (de neige),surfing (snowboarding)
la surprise-partie,surprise party
taper,to type
la t?l?(vision),tv (television)
le texto,text message
tirer,to pull
la valeur,value
vendre,to sell
la version originale,original version
les v?tements (m),clothes
la voile,sailing
le volley,volleyball
l?achat (m),purchase
aller,to go
? l?appareil (m),speaking (on the phone)
l?argent (de poche) (m),(pocket) money
le ballon,ball
la banque,bank
avoir besoin de,to need
le billet,ticket
bon march?,cheap/bargain
la boucle d?oreille,earring
les boules (f),bowls
le cadeau,present
la carte de credit,credit card
le centre commercial,shopping centre
la chanson,song
le chanteur,singer
le chapeau,hat
la chaussette,sock
la chemise,shirt
le choix,choice
le clavier,keyboard
cliquer,to click
la coiffeuse,hairdresser
la com?die,comedy
la confiserie,sweet shop
courir,to run
le cyclisme,cycling
d?mod?,unfashionable
le d?savantage,drawback/handicap
le disque (compact),(compact) disk
donner,to give
l?cran (m),screen
ensemble,together
envoyer,to send
l?quipe (f),team
essayer,to try
faire les courses,to go (food) shopping
?tre fana de,to be a fan of
le feuilleton,soap opera
le film d?horreur,horror film
le film de science-fiction,science-fiction film
le film romantique,romantic film
le gant,glove
le groupe,group
la gymnastique,gymnastics
l?id?e (f),idea
l?inconv?nient,disadvantage
le jeu de cartes/soci?t?,card/board game
jouer,to play
le journal,newspaper
laisser,to leave/drop
le lecteur mp3,mp3 player
la librairie,bookshop
lire,to read
le magasin,shop
la maison de la presse,newsagents
le maquillage,make-up
le march?,market
mettre de l?argent de c?t?,to put money aside
la monnaie,change
la musique (classique),(classical) music
la natation,swimming
l?orchestre,orchestra
la paire,pair
le parapluie,umbrella
la parfumerie,perfumery
le patin ? roulettes,roller skating
patiner,to skate
la p?tisserie,cake shop
la pi?ce,play
la piscine,swimming pool
la poche ,pocket
le portefeuille,wallet
la poste,post office
le prix,price
la publicit?,advert
le pyjama,pyjamas
recevoir,to receive
la r?duction,reduction/discount
remplir,to fill
rentrer,to return/go back in/to
le risque,risk
le rouge ? l?vres,lipstick
la sandale,sandal
la s?ance,session/sitting/performance
le shampooing,shampoo
aller sur un site,to go on a (web) site
le ski nautique,water skiing
la sortie,exit
sous-titr?,subtitled
sportif,sporty
les sports nautiques,water sports
le supermarch?,supermarket
surfer ,to surf (sea and internet)
le sweat (shirt),sweat shirt
la technologie,technology
le temps libre,free time
le th??tre,theatre
toucher,to touch
la vedette,star (person)
venir,to come
la veste,jacket
la vitrine,shop window
voir,to see
le VTT,mountain biking
les actualit?s (f),news
annuler,to cancel
l?antenne (f),aerial
le bloggeur,blogger
le bouton,button
le cano? kayak,kayak
le chariot,online cart
le commencement,beginning/start
le comptoir,counter/bar
contr?ler,to control
la course,race/shopping
d?chirer,to tear (up/apart)
deviner,to guess/work out
le distributeur automatique,vending machine/cash point
les ?checs (m),chess
effacer,to rub out/erase/wipe
emprunter,to borrow
enregistrer,to record
?tre rembours?,to be reimbursed
faire du l?che-vitrine,to window shop
le feu d?artifice,firework
les fl?chettes,darts
le genre,type/genre
la grille de s?curit?,safety gate
l?ic?ne (f),icon
le jour f?ri?,bank holiday
le libre-service,self-service
lourd,heavy
marquer (un but),to score (a goal)
la mi-temps,half-time
les mots crois?s (m),crossword
la page d?accueil,home page
le piercing (? l?oreille),(ear) piercing
la planche de surf,surfboard
la plong?e sous-marine,scuba diving
le poste de travail,work station
le pull ? capuche,hooded jumper
la r?clame,advert
rembourser,to reimburse
remporter,to win
le reste,rest/remainder
le sommet,summit
le tatouage,tattoo
le t?l?spectateur,TV viewer
le traitement de texte,Word processing
l?alpinisme (m),mountaineering
anonyme,anonymous
le bijou,jewellery
la bo?te aux lettres ,inbox
le cam?scope,camcorder
la cha?ne,channel
le chemisier,blouse
le commer?ant,shopkeeper/trader
la console de jeu,games console
le courrier ?lectronique,e-mail
le cybercaf?,cybercaf?
d?rouler (en bas/en haut),to scroll (down/up)
les distractions (f),distractions
l?charpe (f),scarf
l?cran tactile (m),touch screen
emballer,to pack/package/wrap
(s?) ennuyer,to bore (get bored)
l?escalade (f),climbing
l?v?nement (m),event
la fermeture (annuelle),(annual) closing
feuilleter,to leaf/skim through
le/la fleuriste,florist
la grande surface,super/hypermarket
le gymnase,gymnasium
imprimer,to print
lancer,to throw
le lien,link/connection/relationship
le magn?toscope,video recorder
mettre en ligne,to upload
le moniteur,monitor/instructor
la musculation,weighlifting/body-building
p?dagogique,educational/instructive
la pile,battery
la platine laser,CD player
la poissonnerie,fishmonger
la prise,plug
quotidien,daily
le re?u,receipt
remplacer,to replace
le r?seau,network
la r?union,meeting/get-together
sugg?rer,to suggest
t?l?charger,to download
la tourn?e,tour/round
l?addition (f),bill
l?Afrique (f)/africain,Africa/african
en plein air (l?air) (m),open air (air)
l?Allemagne/allemand,germany/german
l?aller simple ,single ticket
l?Am?rique/am?ricain,America/american
(s?) approcher,to approach/come closer
l?ascenseur (m),lift
l?Atlantique (m),Atlantique
L?Australie/australien,Australia/australian
L?autobus (m),bus
L?aventure (f),adventure
les bagages (m),luggage
le bain,bath
le bateau,boat
la boisson,drink
(se) bronzer,to tan
le camion,lorry
le car,coach
le carnet,book of tickets
la carte,map
casser,to break
la chambre de famille,family room
le ch?teau,castle
chercher,to look for
la classe,class
commander,to order
compris,included
confirmer,to confirm
la consigne,left-luggage office
co?ter,to cost
le d?part,departure
diff?rent,different
la douane,customs
Douvres,Dover
durer,to last
Edimbourg,Edinburgh
encore,again(still/yet/although)
l?Espagne (f)/espagnol,Spain/spanish
les ?tats-Unis (m),United States
l?tranger (m) (? l?tranger),stranger (abroad)
les feux rouges (m),traffic lights
la gare routi?re,bus station
le g?te,holiday cottage
le guichet,ticket office
l?h?tel (m),hotel
l?Irlande (f) (du Nord)/irlandais,(Northern) Ireland/irish
le Japon/japonais,Japan/japanese
le lavabo,sink/washbasin
la ligne,line
le logement,accomodation
Londres,London
la Manche,English Channel
le Maroc/marocain,Morocco/moroccan
m?me,same/even
la mer,sea
mixte,mixed
le monde,world
l?office de tourisme (m),tourist information office
partir,to leave
le passant,pedestrian/passer-by
le Pays de Galles/gallois,Wales/welsh
la pension compl?te,full board
la pi?ce d?identit?,ID card
le pi?ton,pedestrian
la plage,beach
le plat (du jour/principal),main meal/dish of the day
le Portugal/portugais,Portugal/portuguese
press?,squeezed/rushed
le projet,project/plan/proposal
le quai,platform
la randonn?e,hiking
recommender,recommend
les renseignements (m),information
r?server,to reserve/book
revenir,to come back
la rue,street/road
le sac de couchage,sleeping bag
la salle d?attente,waiting room
